code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date,moeda
BTC,BRL,Bitcoin/Real Brasileiro,599000,591450,6263,1.057,598840,598841,1749402194,2025-06-08 14:03:14,BTC
,,,595999,584270,7445,1.269,594061,594062,1749340785,,BTC
,,,593914,568693,15804,2.769,586639,586640,1749254379,,BTC
,,,596717,563594,-22105,-3.728,570835,570836,1749167992,,BTC
,,,600910,589040,-4640,-0.777,592871,592872,1749081575,,BTC
,,,606034,596533,-5413,-0.898,597511,597512,1748995171,,BTC
,,,609322,592144,-4675,-0.769,602924,602925,1748908794,,BTC
,,,608849,599500,3763,0.623,607553,607554,1748822396,,BTC
,,,606305,596143,2882,0.48,603708,603709,1748735964,,BTC
,,,607704,594944,-2008,-0.333,600801,600802,1748649580,,BTC
,,,621850,600606,-12727,-2.067,602747,602774,1748563168,,BTC
,,,621940,610025,-3981,-0.643,615598,615599,1748476767,,BTC
,,,630099,614528,-5086,-0.814,619577,619578,1748390392,,BTC
,,,629000,620268,3514,0.566,624538,624539,1748303998,,BTC
,,,621726,607709,7451,1.214,621187,621189,1748217581,,BTC
,,,623500,609189,2511,0.411,613685,613686,1748131178,,BTC
,,,636306,608696,-24744,-3.89,611303,611310,1748044773,,BTC
,,,636080,617323,15432,2.487,635888,635889,1747958399,,BTC
,,,625000,601608,14138,2.332,620408,620466,1747871957,,BTC
,,,609431,591634,8398,1.405,606192,606289,1747785575,,BTC
,,,607821,581651,-6425,-1.063,597856,597857,1747699166,,BTC
,,,605780,589025,15472,2.627,604605,604637,1747612773,,BTC
,,,591783,585163,-482,-0.082,589025,589026,1747526375,,BTC
,,,595137,587256,-1731,-0.293,589669,589670,1747439972,,BTC
,,,592621,573265,5796,0.99,591343,591357,1747353572,,BTC
,,,586452,578053,-149,-0.025,585551,585553,1747267191,,BTC
,,,590500,578174,338,0.058,585735,585736,1747180769,,BTC
,,,601000,575500,-7288,-1.23,585396,585397,1747094369,,BTC
,,,597774,588707,-4214,-0.706,592599,592640,1747007960,,BTC
,,,597995,584638,11384,1.944,596988,596989,1746921594,,BTC
,,,592268,579930,-1814,-0.309,585599,585600,1746835167,,BTC
,,,590900,558061,28738,5.143,587473,587500,1746748795,,BTC
,,,560339,549452,4773,0.862,558702,558703,1746662355,,BTC
,,,554363,533715,14115,2.615,553952,553985,1746575993,,BTC
,,,542400,530489,2283,0.425,539781,539782,1746489559,,BTC
,,,555003,546557,-2366,-0.43,547259,547260,1746255641,,BTC
,,,555003,546557,1212,0.221,550790,550791,1746230393,,BTC
,,,555206,536522,12824,2.389,549578,549579,1746143982,,BTC
,,,539383,528301,3802,0.713,536754,536755,1746057587,,BTC
,,,541935,529599,-6093,-1.13,532995,532996,1745971190,,BTC
,,,545888,531738,2059,0.383,539087,539088,1745884784,,BTC
,,,545613,536250,-4812,-0.888,536975,536976,1745798378,,BTC
,,,544400,538201,616,0.114,541842,541843,1745711996,,BTC
,,,545820,529351,5123,0.955,541366,541367,1745625576,,BTC
,,,538350,525513,-2072,-0.385,536243,536244,1745539178,,BTC
,,,541961,526069,1814,0.338,538316,538347,1745452776,,BTC
,,,538620,506833,25883,5.07,536414,536418,1745366353,,BTC
,,,517726,498737,11222,2.248,510515,510517,1745279985,,BTC
,,,502000,492176,-538,-0.108,499301,499303,1745193585,,BTC
,,,502362,494401,4825,0.975,499873,499890,1745107163,,BTC
,,,497218,493337,-58,-0.012,495024,495051,1745020750,,BTC
,,,500178,492750,1029,0.208,495164,495193,1744934365,,BTC
,,,502241,490255,664,0.135,494248,494249,1744847957,,BTC
,,,508600,493058,-4029,-0.81,493372,493373,1744761576,,BTC
,,,503627,492579,2891,0.585,497381,497394,1744675167,,BTC
,,,506444,489681,-8009,-1.594,494572,494591,1744588764,,BTC
,,,505936,488521,10819,2.2,502590,502591,1744502391,,BTC
,,,495549,467063,21359,4.54,491777,491779,1744415997,,BTC
,,,483969,467018,-12182,-2.522,470646,470648,1744329567,,BTC
,,,488400,450828,22643,4.919,482842,482939,1744243190,,BTC
,,,480465,458578,-10563,-2.244,460249,460321,1744156755,,BTC
,,,477078,439016,8244,1.784,470523,470552,1744070380,,BTC
,,,492398,455081,-29043,-5.914,461954,461969,1743983986,,BTC
,,,494448,484551,506,0.103,491093,491130,1743897567,,BTC
,,,494204,463112,27122,5.816,493436,493710,1743802788,,BTC
,,,478604,456666,112,0.024,470847,470848,1743724763,,BTC
,,,503088,469833,-14202,-2.928,470862,470874,1743638355,,BTC
,,,488065,472182,12227,2.586,485075,485076,1743551970,,BTC
,,,483109,471300,-5568,-1.164,472849,472851,1743465579,,BTC
,,,485585,473874,-1354,-0.282,478417,478418,1743379175,,BTC
,,,490940,474830,-9628,-1.967,479771,479772,1743292769,,BTC
,,,503680,482306,-12414,-2.473,489498,489499,1743206388,,BTC
,,,504500,495481,1671,0.334,502034,502040,1743119972,,BTC
,,,505314,493427,419,0.084,500281,500323,1743033579,,BTC
,,,510793,493942,6611,1.338,500522,500523,1742871918,,BTC
,,,510793,491000,10049,2.03,505132,505189,1742860777,,BTC
,,,495440,483504,11341,2.345,495000,495003,1742774355,,BTC
,,,486950,482767,-556,-0.115,483658,483659,1742687983,,BTC
,,,486087,476957,5314,1.11,484213,484214,1742601576,,BTC
,,,495107,475000,-12863,-2.616,478890,478900,1742515178,,BTC
,,,492650,469663,20165,4.277,491766,491767,1742428797,,BTC
,,,479193,462000,-7596,-1.585,471536,471537,1742342368,,BTC
,,,484550,473300,1445,0.302,479269,479407,1742255956,,BTC
,,,492500,474401,-9463,-1.941,477946,477986,1742169580,,BTC
,,,489332,483419,2045,0.421,487361,487409,1742083184,,BTC
,,,489499,469791,13616,2.887,485212,485256,1741996775,,BTC
,,,491360,465000,-15347,-3.153,471549,471647,1741910380,,BTC
,,,493178,471001,2621,0.542,486604,486605,1741823968,,BTC
,,,487328,451938,21282,4.599,483999,484000,1741737580,,BTC
,,,491682,456632,-10162,-2.151,462300,462318,1741651168,,BTC
,,,505199,468280,-30821,-6.122,472607,472616,1741564774,,BTC
,,,506457,497201,-2610,-0.516,503360,503433,1741478363,,BTC
,,,529102,493000,-15709,-3.012,505700,505886,1741391968,,BTC
,,,535641,508447,-2358,-0.45,521473,521544,1741305587,,BTC
,,,535530,509197,9529,1.853,523624,523697,1741219171,,BTC
,,,523822,483350,2386,0.466,514144,514201,1741132786,,BTC
,,,559244,504500,-46504,-8.329,511807,511818,1741046378,,BTC
,,,562887,504437,48656,9.547,558281,558311,1740959964,,BTC
,,,513552,497536,9956,1.992,509646,509738,1740873586,,BTC
,,,503750,459643,3944,0.795,499684,499744,1740787177,,BTC
,,,507615,483413,4895,0.997,495840,495873,1740700773,,BTC
,,,516321,479150,-21754,-4.243,490898,490960,1740614395,,BTC
,,,537766,498539,-18170,-3.422,512571,512771,1740527971,,BTC
,,,555253,529782,-22973,-4.152,530293,530373,1740441553,,BTC
,,,556469,548200,-2423,-0.44,553133,553524,1740355185,,BTC
,,,558000,551361,2063,0.37,555556,556072,1740268741,,BTC
,,,569590,545500,-8441,-1.5,552706,553483,1740182394,,BTC
,,,563778,552060,8574,1.55,561700,561934,1740095947,,BTC
,,,554900,542502,7360,1.35,553359,553404,1740009593,,BTC
,,,554943,533165,-4794,-0.87,545612,545947,1739923173,,BTC
,,,561405,555500,3918,0.7,560609,560852,1739663997,,BTC
,,,565800,552000,-204,-0.04,556934,557399,1739577590,,BTC
,,,565126,550000,-6508,-1.15,557232,557397,1739491139,,BTC
,,,565126,545000,10137,1.83,563587,563964,1739404784,,BTC
,,,568819,548875,-12085,-2.14,552917,553100,1739318358,,BTC
,,,571106,558418,66,0.01,564372,564372,1739231986,,BTC
,,,570000,555500,-727,-0.13,564936,565501,1739145531,,BTC
,,,567700,560148,2039,0.36,565102,566067,1739059164,,BTC
,,,578351,557797,5604,1,563063,563494,1738972764,,BTC
,,,576508,559302,-5282,-0.93,561282,561753,1738799942,,BTC
,,,592200,556700,-22757,-3.86,566753,567240,1738713553,,BTC
,,,597000,543100,13042,2.26,589942,590354,1738627172,,BTC
,,,598108,568279,-16290,-2.75,576952,577174,1738540766,,BTC
,,,602357,591617,-5715,-0.95,593618,594165,1738454374,,BTC
,,,619255,595300,-13390,-2.18,599649,600081,1738367963,,BTC
,,,626849,601636,10012,1.66,613147,613239,1738281502,,BTC
,,,613869,594283,7536,1.27,603135,603922,1738195159,,BTC
,,,611613,589580,-8346,-1.38,595557,595612,1738108786,,BTC
,,,615573,583068,-7070,-1.16,603800,604116,1738022363,,BTC
