preco_maximo,preco_minimo,variacao_bid,variacao_pct,preco_compra,preco_venda,data_hora,moeda,data_ingestao,origem_arquivo
599000.0,591450.0,6263.0,1.057,598840.0,598841.0,08/06/2025 17:03,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
595999.0,584270.0,7445.0,1.269,594061.0,594062.0,07/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
593914.0,568693.0,15804.0,2.769,586639.0,586640.0,06/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
596717.0,563594.0,-22105.0,-3.728,570835.0,570836.0,05/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
600910.0,589040.0,-4640.0,-0.777,592871.0,592872.0,04/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
606034.0,596533.0,-5413.0,-0.898,597511.0,597512.0,03/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
609322.0,592144.0,-4675.0,-0.769,602924.0,602925.0,02/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
608849.0,599500.0,3763.0,0.623,607553.0,607554.0,01/06/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
606305.0,596143.0,2882.0,0.48,603708.0,603709.0,31/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
607704.0,594944.0,-2008.0,-0.333,600801.0,600802.0,30/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
621850.0,600606.0,-12727.0,-2.067,602747.0,602774.0,29/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
621940.0,610025.0,-3981.0,-0.643,615598.0,615599.0,28/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
630099.0,614528.0,-5086.0,-0.814,619577.0,619578.0,27/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
629000.0,620268.0,3514.0,0.566,624538.0,624539.0,26/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
621726.0,607709.0,7451.0,1.214,621187.0,621189.0,25/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
623500.0,609189.0,2511.0,0.411,613685.0,613686.0,24/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
636306.0,608696.0,-24744.0,-3.89,611303.0,611310.0,23/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
636080.0,617323.0,15432.0,2.487,635888.0,635889.0,22/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
625000.0,601608.0,14138.0,2.332,620408.0,620466.0,21/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
609431.0,591634.0,8398.0,1.405,606192.0,606289.0,20/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
607821.0,581651.0,-6425.0,-1.063,597856.0,597857.0,19/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
605780.0,589025.0,15472.0,2.627,604605.0,604637.0,18/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
591783.0,585163.0,-482.0,-0.082,589025.0,589026.0,17/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
595137.0,587256.0,-1731.0,-0.293,589669.0,589670.0,16/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
592621.0,573265.0,5796.0,0.99,591343.0,591357.0,15/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
586452.0,578053.0,-149.0,-0.025,585551.0,585553.0,14/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
590500.0,578174.0,338.0,0.058,585735.0,585736.0,13/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
601000.0,575500.0,-7288.0,-1.23,585396.0,585397.0,12/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
597774.0,588707.0,-4214.0,-0.706,592599.0,592640.0,11/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
597995.0,584638.0,11384.0,1.944,596988.0,596989.0,10/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
592268.0,579930.0,-1814.0,-0.309,585599.0,585600.0,09/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
590900.0,558061.0,28738.0,5.143,587473.0,587500.0,08/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
560339.0,549452.0,4773.0,0.862,558702.0,558703.0,07/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
554363.0,533715.0,14115.0,2.615,553952.0,553985.0,06/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
542400.0,530489.0,2283.0,0.425,539781.0,539782.0,05/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
555003.0,546557.0,-2366.0,-0.43,547259.0,547260.0,03/05/2025 07:00,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
555003.0,546557.0,1212.0,0.221,550790.0,550791.0,02/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
555206.0,536522.0,12824.0,2.389,549578.0,549579.0,01/05/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
539383.0,528301.0,3802.0,0.713,536754.0,536755.0,30/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
541935.0,529599.0,-6093.0,-1.13,532995.0,532996.0,29/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
545888.0,531738.0,2059.0,0.383,539087.0,539088.0,28/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
545613.0,536250.0,-4812.0,-0.888,536975.0,536976.0,27/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
544400.0,538201.0,616.0,0.114,541842.0,541843.0,26/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
545820.0,529351.0,5123.0,0.955,541366.0,541367.0,25/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
538350.0,525513.0,-2072.0,-0.385,536243.0,536244.0,24/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
541961.0,526069.0,1814.0,0.338,538316.0,538347.0,23/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
538620.0,506833.0,25883.0,5.07,536414.0,536418.0,22/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
517726.0,498737.0,11222.0,2.248,510515.0,510517.0,21/04/2025 23:59,BTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
